dato,skole,elevdag,sfodag,kommentar
2016-12-29,Hundvåg skole,Nei,Ja,Juleferie
2016-12-30,Hundvåg skole,Nei,Ja,Juleferie
2017-01-01,Hundvåg skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Hundvåg skole,Nei,Ja,Juleferie
2017-02-27,Hundvåg skole,Nei,Ja,Vinterferie
2017-02-28,Hundvåg skole,Nei,Ja,Vinterferie
2017-03-01,Hundvåg skole,Nei,Ja,Vinterferie
2017-03-02,Hundvåg skole,Nei,Ja,Vinterferie
2017-03-03,Hundvåg skole,Nei,Ja,Vinterferie
2017-04-09,Hundvåg skole,Nei,Nei,Palmesøndag
2017-04-10,Hundvåg skole,Nei,Ja,Påskeferie
2017-04-11,Hundvåg skole,Nei,Ja,Påskeferie
2017-04-12,Hundvåg skole,Nei,Ja,Påskeferie
2017-04-13,Hundvåg skole,Nei,Nei,Skjærtorsdag
2017-04-14,Hundvåg skole,Nei,Nei,Langfredag
2017-04-16,Hundvåg skole,Nei,Nei,1. påskedag
2017-04-17,Hundvåg skole,Nei,Nei,2. påskedag
2017-04-18,Hundvåg skole,Nei,Nei,Planleggingsdag
2017-05-01,Hundvåg skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Hundvåg skole,Nei,Nei,Grunnlovsdag
2017-05-25,Hundvåg skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Hundvåg skole,Nei,Ja,Fridag
2017-06-04,Hundvåg skole,Nei,Nei,1. pinsedag
2017-06-05,Hundvåg skole,Nei,Nei,2. pinsedag
2017-06-30,Hundvåg skole,Nei,Ja,siste dag - sfo
2016-08-15,Johannes læringssenter,Nei,Nei,Planleggingsdag
2016-08-16,Johannes læringssenter,Nei,Nei,Planleggingsdag
2016-08-17,Johannes læringssenter,Nei,Nei,Planleggingsdag
2016-10-10,Johannes læringssenter,Nei,Nei,Høstferie
2016-10-11,Johannes læringssenter,Nei,Nei,Høstferie
2016-10-12,Johannes læringssenter,Nei,Nei,Høstferie
2016-10-13,Johannes læringssenter,Nei,Nei,Høstferie
2016-10-14,Johannes læringssenter,Nei,Nei,Høstferie
2016-11-18,Johannes læringssenter,Nei,Nei,Planleggingsdag
2016-12-22,Johannes læringssenter,Nei,Nei,Juleferie
2016-12-23,Johannes læringssenter,Nei,Nei,Juleferie
2016-12-25,Johannes læringssenter,Nei,Nei,1. juledag
2016-12-26,Johannes læringssenter,Nei,Nei,2. juledag
2016-12-27,Johannes læringssenter,Nei,Nei,Juleferie
2016-12-28,Johannes læringssenter,Nei,Nei,Juleferie
2016-12-29,Johannes læringssenter,Nei,Nei,Juleferie
2016-12-30,Johannes læringssenter,Nei,Nei,Juleferie
2017-01-01,Johannes læringssenter,Nei,Nei,1. Nyttårsdag
2017-01-02,Johannes læringssenter,Nei,Nei,Planleggingsdag
2017-02-27,Johannes læringssenter,Nei,Nei,Vinterferie
2017-02-28,Johannes læringssenter,Nei,Nei,Vinterferie
2017-03-01,Johannes læringssenter,Nei,Nei,Vinterferie
2017-03-02,Johannes læringssenter,Nei,Nei,Vinterferie
2017-03-03,Johannes læringssenter,Nei,Nei,Vinterferie
2017-04-09,Johannes læringssenter,Nei,Nei,Palmesøndag
2017-04-10,Johannes læringssenter,Nei,Nei,Påskeferie
2017-04-11,Johannes læringssenter,Nei,Nei,Påskeferie
2017-04-12,Johannes læringssenter,Nei,Nei,Påskeferie
2017-04-13,Johannes læringssenter,Nei,Nei,Skjærtorsdag
2017-04-14,Johannes læringssenter,Nei,Nei,Langfredag
2017-04-16,Johannes læringssenter,Nei,Nei,1. påskedag
2017-04-17,Johannes læringssenter,Nei,Nei,2. påskedag
2017-04-18,Johannes læringssenter,Nei,Nei,Planleggingsdag
2017-05-01,Johannes læringssenter,Nei,Nei,Off. Høytidsdag
2017-05-17,Johannes læringssenter,Nei,Nei,Grunnlovsdag
2017-05-25,Johannes læringssenter,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Johannes læringssenter,Nei,Nei,Fridag
2017-06-04,Johannes læringssenter,Nei,Nei,1. pinsedag
2017-06-05,Johannes læringssenter,Nei,Nei,2. pinsedag
2016-08-01,Jåtten skole,Nei,Ja,første dag - sfo
2016-08-15,Jåtten skole,Nei,Ja,Planleggingsdag
2016-08-16,Jåtten skole,Nei,Nei,Planleggingsdag
2016-08-17,Jåtten skole,Nei,Nei,Planleggingsdag
2016-10-10,Jåtten skole,Nei,Ja,Høstferie
2016-10-11,Jåtten skole,Nei,Ja,Høstferie
2016-10-12,Jåtten skole,Nei,Ja,Høstferie
2016-10-13,Jåtten skole,Nei,Ja,Høstferie
2016-10-14,Jåtten skole,Nei,Ja,Høstferie
2016-11-18,Jåtten skole,Nei,Nei,Planleggingsdag
2016-12-22,Jåtten skole,Nei,Ja,Juleferie
2016-12-23,Jåtten skole,Nei,Ja,Juleferie
2016-12-25,Jåtten skole,Nei,Nei,1. juledag
2016-12-26,Jåtten skole,Nei,Nei,2. juledag
2016-12-27,Jåtten skole,Nei,Ja,Juleferie
2016-12-28,Jåtten skole,Nei,Ja,Juleferie
2016-12-29,Jåtten skole,Nei,Ja,Juleferie
2016-12-30,Jåtten skole,Nei,Ja,Juleferie
2017-01-01,Jåtten skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Jåtten skole,Nei,Nei,Planleggingsdag
2017-02-27,Jåtten skole,Nei,Ja,Vinterferie
2017-02-28,Jåtten skole,Nei,Ja,Vinterferie
2017-03-01,Jåtten skole,Nei,Ja,Vinterferie
2017-03-02,Jåtten skole,Nei,Ja,Vinterferie
2017-03-03,Jåtten skole,Nei,Ja,Vinterferie
2017-04-09,Jåtten skole,Nei,Nei,Palmesøndag
2017-04-10,Jåtten skole,Nei,Ja,Påskeferie
2017-04-11,Jåtten skole,Nei,Ja,Påskeferie
2017-04-12,Jåtten skole,Nei,Ja,Påskeferie
2017-04-13,Jåtten skole,Nei,Nei,Skjærtorsdag
2017-04-14,Jåtten skole,Nei,Nei,Langfredag
2017-04-16,Jåtten skole,Nei,Nei,1. påskedag
2017-04-17,Jåtten skole,Nei,Nei,2. påskedag
2017-05-01,Jåtten skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Jåtten skole,Nei,Nei,Grunnlovsdag
2017-05-25,Jåtten skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Jåtten skole,Nei,Nei,Planleggingsdag
2017-06-04,Jåtten skole,Nei,Nei,1. pinsedag
2017-06-05,Jåtten skole,Nei,Nei,2. pinsedag
2017-06-22,Jåtten skole,Nei,Ja,Planleggingsdag
2017-06-30,Jåtten skole,Nei,Ja,siste dag - sfo
2016-08-01,Kampen skole,Nei,Ja,første dag - sfo 
2016-08-16,Kampen skole,Nei,Nei,Planleggingsdag
2016-08-17,Kampen skole,Nei,Nei,Planleggingsdag
2016-10-10,Kampen skole,Nei,Ja,Høstferie
2016-10-11,Kampen skole,Nei,Ja,Høstferie
2016-10-12,Kampen skole,Nei,Ja,Høstferie
2016-10-13,Kampen skole,Nei,Ja,Høstferie
2016-10-14,Kampen skole,Nei,Ja,Høstferie
2016-11-18,Kampen skole,Nei,Nei,Planleggingsdag
2016-12-22,Kampen skole,Nei,Ja,Juleferie
2016-12-23,Kampen skole,Nei,Ja,Juleferie
2016-12-25,Kampen skole,Nei,Nei,1. juledag
2016-12-26,Kampen skole,Nei,Nei,2. juledag
2016-12-27,Kampen skole,Nei,Ja,Juleferie
2016-12-28,Kampen skole,Nei,Ja,Juleferie
2016-12-29,Kampen skole,Nei,Ja,Juleferie
2016-12-30,Kampen skole,Nei,Ja,Juleferie
2017-01-01,Kampen skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Kampen skole,Nei,Ja,Juleferie
2017-02-27,Kampen skole,Nei,Ja,Vinterferie
2017-02-28,Kampen skole,Nei,Ja,Vinterferie
2017-03-01,Kampen skole,Nei,Ja,Vinterferie
2017-03-02,Kampen skole,Nei,Ja,Vinterferie
2017-03-03,Kampen skole,Nei,Ja,Vinterferie
2017-04-09,Kampen skole,Nei,Nei,Palmesøndag
2017-04-10,Kampen skole,Nei,Ja,Påskeferie
2017-04-11,Kampen skole,Nei,Ja,Påskeferie
2017-04-12,Kampen skole,Nei,Ja,Påskeferie
2017-04-13,Kampen skole,Nei,Nei,Skjærtorsdag
2017-04-14,Kampen skole,Nei,Nei,Langfredag
2017-04-16,Kampen skole,Nei,Nei,1. påskedag
2017-04-17,Kampen skole,Nei,Nei,2. påskedag
2017-05-01,Kampen skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Kampen skole,Nei,Nei,Grunnlovsdag
2017-05-25,Kampen skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Kampen skole,Nei,Ja,Fridag
2017-06-04,Kampen skole,Nei,Nei,1. pinsedag
2017-06-05,Kampen skole,Nei,Nei,2. pinsedag
2017-06-06,Kampen skole,Nei,Nei,Planleggingsdag
2017-06-30,Kampen skole,Nei,Ja,siste dag - sfo
2016-08-15,Kannik skole,Nei,Nei,Planleggingsdag
2016-08-16,Kannik skole,Nei,Nei,Planleggingsdag
2016-08-17,Kannik skole,Nei,Nei,Planleggingsdag
2016-10-10,Kannik skole,Nei,Nei,Høstferie
2016-10-11,Kannik skole,Nei,Nei,Høstferie
2016-10-12,Kannik skole,Nei,Nei,Høstferie
2016-10-13,Kannik skole,Nei,Nei,Høstferie
2016-10-14,Kannik skole,Nei,Nei,Høstferie
2016-12-22,Kannik skole,Nei,Nei,Juleferie
2016-12-23,Kannik skole,Nei,Nei,Juleferie
2016-12-25,Kannik skole,Nei,Nei,1. juledag
2016-12-26,Kannik skole,Nei,Nei,2. juledag
2016-12-27,Kannik skole,Nei,Nei,Juleferie
2016-12-28,Kannik skole,Nei,Nei,Juleferie
2016-12-29,Kannik skole,Nei,Nei,Juleferie
2016-12-30,Kannik skole,Nei,Nei,Juleferie
2017-01-01,Kannik skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Kannik skole,Nei,Nei,Planleggingsdag
2017-02-27,Kannik skole,Nei,Nei,Vinterferie
2017-02-28,Kannik skole,Nei,Nei,Vinterferie
2017-03-01,Kannik skole,Nei,Nei,Vinterferie
2017-03-02,Kannik skole,Nei,Nei,Vinterferie
2017-03-03,Kannik skole,Nei,Nei,Vinterferie
2017-04-09,Kannik skole,Nei,Nei,Palmesøndag
2017-04-10,Kannik skole,Nei,Nei,Påskeferie
2017-04-11,Kannik skole,Nei,Nei,Påskeferie
2017-04-12,Kannik skole,Nei,Nei,Påskeferie
2017-04-13,Kannik skole,Nei,Nei,Skjærtorsdag
2017-04-14,Kannik skole,Nei,Nei,Langfredag
2017-04-16,Kannik skole,Nei,Nei,1. påskedag
2017-04-17,Kannik skole,Nei,Nei,2. påskedag
2017-04-18,Kannik skole,Nei,Nei,Planleggingsdag
2017-05-01,Kannik skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Kannik skole,Nei,Nei,Grunnlovsdag
2017-05-25,Kannik skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Kannik skole,Nei,Nei,Fridag
2017-06-04,Kannik skole,Nei,Nei,1. pinsedag
2017-06-05,Kannik skole,Nei,Nei,2. pinsedag
2016-08-15,Kristianlyst skole,Nei,Nei,Planleggingsdag
2016-08-16,Kristianlyst skole,Nei,Nei,Planleggingsdag
2016-08-17,Kristianlyst skole,Nei,Nei,Planleggingsdag
2016-10-10,Kristianlyst skole,Nei,Nei,Høstferie
2016-10-11,Kristianlyst skole,Nei,Nei,Høstferie
2016-10-12,Kristianlyst skole,Nei,Nei,Høstferie
2016-10-13,Kristianlyst skole,Nei,Nei,Høstferie
2016-10-14,Kristianlyst skole,Nei,Nei,Høstferie
2016-11-18,Kristianlyst skole,Nei,Nei,Planleggingsdag
2016-12-22,Kristianlyst skole,Nei,Nei,Juleferie
2016-12-23,Kristianlyst skole,Nei,Nei,Juleferie
2016-12-25,Kristianlyst skole,Nei,Nei,1. juledag
2016-12-26,Kristianlyst skole,Nei,Nei,2. juledag
2016-12-27,Kristianlyst skole,Nei,Nei,Juleferie
2016-12-28,Kristianlyst skole,Nei,Nei,Juleferie
2016-12-29,Kristianlyst skole,Nei,Nei,Juleferie
2016-12-30,Kristianlyst skole,Nei,Nei,Juleferie
2017-01-01,Kristianlyst skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Kristianlyst skole,Nei,Nei,Juleferie
2017-02-27,Kristianlyst skole,Nei,Nei,Vinterferie
2017-02-28,Kristianlyst skole,Nei,Nei,Vinterferie
2017-03-01,Kristianlyst skole,Nei,Nei,Vinterferie
2017-03-02,Kristianlyst skole,Nei,Nei,Vinterferie
2017-03-03,Kristianlyst skole,Nei,Nei,Vinterferie
2017-04-09,Kristianlyst skole,Nei,Nei,Palmesøndag
2017-04-10,Kristianlyst skole,Nei,Nei,Påskeferie
2017-04-11,Kristianlyst skole,Nei,Nei,Påskeferie
2017-04-12,Kristianlyst skole,Nei,Nei,Påskeferie
2017-04-13,Kristianlyst skole,Nei,Nei,Skjærtorsdag
2017-04-14,Kristianlyst skole,Nei,Nei,Langfredag
2017-04-16,Kristianlyst skole,Nei,Nei,1. påskedag
2017-04-17,Kristianlyst skole,Nei,Nei,2. påskedag
2017-05-01,Kristianlyst skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Kristianlyst skole,Nei,Nei,Grunnlovsdag
2017-05-25,Kristianlyst skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Kristianlyst skole,Nei,Nei,Planleggingsdag
2017-06-04,Kristianlyst skole,Nei,Nei,1. pinsedag
2017-06-05,Kristianlyst skole,Nei,Nei,2. pinsedag
2016-08-01,Kvaleberg skole,Nei,Nei,Planleggingsdag
2016-08-02,Kvaleberg skole,Nei,Nei,Planleggingsdag
2016-08-03,Kvaleberg skole,Nei,Ja,første dag - sfo
2016-08-15,Kvaleberg skole,Nei,Ja,Planleggingsdag
2016-08-16,Kvaleberg skole,Nei,Ja,Planleggingsdag
2016-08-17,Kvaleberg skole,Nei,Nei,Planleggingsdag
2016-10-10,Kvaleberg skole,Nei,Ja,Høstferie
2016-10-11,Kvaleberg skole,Nei,Ja,Høstferie
2016-10-12,Kvaleberg skole,Nei,Ja,Høstferie
2016-10-13,Kvaleberg skole,Nei,Ja,Høstferie
2016-10-14,Kvaleberg skole,Nei,Ja,Høstferie
2016-11-17,Kvaleberg skole,Nei,Nei,Planleggingsdag
2016-11-18,Kvaleberg skole,Nei,Nei,Planleggingsdag
2016-12-22,Kvaleberg skole,Nei,Ja,Juleferie
2016-12-23,Kvaleberg skole,Nei,Ja,Juleferie
2016-12-25,Kvaleberg skole,Nei,Nei,1. juledag
2016-12-26,Kvaleberg skole,Nei,Nei,2. juledag
2016-12-27,Kvaleberg skole,Nei,Ja,Juleferie
2016-12-28,Kvaleberg skole,Nei,Ja,Juleferie
2016-12-29,Kvaleberg skole,Nei,Ja,Juleferie
2016-12-30,Kvaleberg skole,Nei,Ja,Juleferie
2017-01-01,Kvaleberg skole,Nei,Nei,1. Nyttårsdag
2017-02-27,Kvaleberg skole,Nei,Ja,Vinterferie
2017-02-28,Kvaleberg skole,Nei,Ja,Vinterferie
2017-03-01,Kvaleberg skole,Nei,Ja,Vinterferie
2017-03-02,Kvaleberg skole,Nei,Ja,Vinterferie
2017-03-03,Kvaleberg skole,Nei,Ja,Vinterferie
2017-04-09,Kvaleberg skole,Nei,Nei,Palmesøndag
2017-04-10,Kvaleberg skole,Nei,Ja,Påskeferie
2017-04-11,Kvaleberg skole,Nei,Ja,Påskeferie
2017-04-12,Kvaleberg skole,Nei,Ja,Påskeferie
2017-04-13,Kvaleberg skole,Nei,Nei,Skjærtorsdag
2017-04-14,Kvaleberg skole,Nei,Nei,Langfredag
2017-04-16,Kvaleberg skole,Nei,Nei,1. påskedag
2017-04-17,Kvaleberg skole,Nei,Nei,2. påskedag
2017-05-01,Kvaleberg skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Kvaleberg skole,Nei,Nei,Grunnlovsdag
2017-05-25,Kvaleberg skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Kvaleberg skole,Nei,Ja,Fridag
2017-06-04,Kvaleberg skole,Nei,Nei,1. pinsedag
2017-06-05,Kvaleberg skole,Nei,Nei,2. pinsedag
2017-06-30,Kvaleberg skole,Nei,Ja,siste dag - sfo
2016-08-01,Kvernevik skole,Nei,Nei,Planleggingsdag
2016-08-02,Kvernevik skole,Nei,Ja,første dag - sfo
2016-08-15,Kvernevik skole,Nei,Nei,Planleggingsdag
2016-08-16,Kvernevik skole,Nei,Ja,Planleggingsdag
2016-08-17,Kvernevik skole,Nei,Ja,Planleggingsdag
2016-10-10,Kvernevik skole,Nei,Ja,Høstferie
2016-10-11,Kvernevik skole,Nei,Ja,Høstferie
2016-10-12,Kvernevik skole,Nei,Ja,Høstferie
2016-10-13,Kvernevik skole,Nei,Ja,Høstferie
2016-10-14,Kvernevik skole,Nei,Ja,Høstferie
2016-11-18,Kvernevik skole,Nei,Nei,Planleggingsdag
2016-12-22,Kvernevik skole,Nei,Ja,Juleferie
2016-12-23,Kvernevik skole,Nei,Nei,Juleferie
2016-12-25,Kvernevik skole,Nei,Nei,1. juledag
2016-12-26,Kvernevik skole,Nei,Nei,2. juledag
2016-12-27,Kvernevik skole,Nei,Ja,Juleferie
2016-12-28,Kvernevik skole,Nei,Ja,Juleferie
2016-12-29,Kvernevik skole,Nei,Ja,Juleferie
2016-12-30,Kvernevik skole,Nei,Ja,Juleferie
2017-01-01,Kvernevik skole,Nei,Nei,1. Nyttårsdag
2017-02-27,Kvernevik skole,Nei,Ja,Vinterferie
2017-02-28,Kvernevik skole,Nei,Ja,Vinterferie
2017-03-01,Kvernevik skole,Nei,Ja,Vinterferie
2017-03-02,Kvernevik skole,Nei,Ja,Vinterferie
2017-03-03,Kvernevik skole,Nei,Ja,Vinterferie
2017-04-09,Kvernevik skole,Nei,Nei,Palmesøndag
2017-04-10,Kvernevik skole,Nei,Ja,Påskeferie
2017-04-11,Kvernevik skole,Nei,Ja,Påskeferie
2017-04-12,Kvernevik skole,Nei,Ja,Påskeferie
2017-04-13,Kvernevik skole,Nei,Nei,Skjærtorsdag
2017-04-14,Kvernevik skole,Nei,Nei,Langfredag
2017-04-16,Kvernevik skole,Nei,Nei,1. påskedag
2017-04-17,Kvernevik skole,Nei,Nei,2. påskedag
2017-04-18,Kvernevik skole,Nei,Ja,Planleggingsdag
2017-05-01,Kvernevik skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Kvernevik skole,Nei,Nei,Grunnlovsdag
2017-05-25,Kvernevik skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Kvernevik skole,Nei,Nei,Planleggingsdag
2017-06-04,Kvernevik skole,Nei,Nei,1. pinsedag
2017-06-05,Kvernevik skole,Nei,Nei,2. pinsedag
2017-06-22,Kvernevik skole,Nei,Ja,Planleggingsdag
2017-06-29,Kvernevik skole,Nei,Ja,siste dag - sfo
2017-06-30,Kvernevik skole,Nei,Nei,Planleggingsdag
2016-08-01,Lassa skole,Nei,Nei,Planleggingsdag
2016-08-02,Lassa skole,Nei,Nei,Planleggingsdag
2016-08-03,Lassa skole,Nei,Ja,første dag - sfo
2016-08-15,Lassa skole,Nei,Ja,Planleggingsdag
2016-08-16,Lassa skole,Nei,Ja,Planleggingsdag
2016-08-17,Lassa skole,Nei,Ja,Planleggingsdag
2016-10-10,Lassa skole,Nei,Ja,Høstferie
2016-10-11,Lassa skole,Nei,Ja,Høstferie
2016-10-12,Lassa skole,Nei,Ja,Høstferie
2016-10-13,Lassa skole,Nei,Ja,Høstferie
2016-10-14,Lassa skole,Nei,Ja,Høstferie
2016-11-17,Lassa skole,Nei,Nei,Planleggingsdag
2016-11-18,Lassa skole,Nei,Nei,Planleggingsdag
2016-12-22,Lassa skole,Nei,Ja,Juleferie
2016-12-23,Lassa skole,Nei,Ja,Juleferie
2016-12-25,Lassa skole,Nei,Nei,1. juledag
2016-12-26,Lassa skole,Nei,Nei,2. juledag
2016-12-27,Lassa skole,Nei,Ja,Juleferie
2016-12-28,Lassa skole,Nei,Ja,Juleferie
2016-12-29,Lassa skole,Nei,Ja,Juleferie
2016-12-30,Lassa skole,Nei,Ja,Juleferie
2017-01-01,Lassa skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Lassa skole,Nei,Ja,Planleggingsdag
2017-02-27,Lassa skole,Nei,Ja,Vinterferie
2017-02-28,Lassa skole,Nei,Ja,Vinterferie
2017-03-01,Lassa skole,Nei,Ja,Vinterferie
2017-03-02,Lassa skole,Nei,Ja,Vinterferie
2017-03-03,Lassa skole,Nei,Ja,Vinterferie
2017-04-09,Lassa skole,Nei,Nei,Palmesøndag
2017-04-10,Lassa skole,Nei,Ja,Påskeferie
2017-04-11,Lassa skole,Nei,Ja,Påskeferie
2017-04-12,Lassa skole,Nei,Ja,Påskeferie
2017-04-13,Lassa skole,Nei,Nei,Skjærtorsdag
2017-04-14,Lassa skole,Nei,Nei,Langfredag
2017-04-16,Lassa skole,Nei,Nei,1. påskedag
2017-04-17,Lassa skole,Nei,Nei,2. påskedag
2017-05-01,Lassa skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Lassa skole,Nei,Nei,Grunnlovsdag
2017-05-25,Lassa skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Lassa skole,Nei,Ja,fridag
2017-06-04,Lassa skole,Nei,Nei,1. pinsedag
2017-06-05,Lassa skole,Nei,Nei,2. pinsedag
2017-06-30,Lassa skole,Nei,Ja,siste dag - sfo
2016-08-15,Lenden skole og ressurssenter,Nei,Nei,Planleggingsdag
2016-08-16,Lenden skole og ressurssenter,Nei,Nei,Planleggingsdag
2016-08-17,Lenden skole og ressurssenter,Nei,Nei,Planleggingsdag
2016-10-10,Lenden skole og ressurssenter,Nei,Nei,Høstferie
2016-10-11,Lenden skole og ressurssenter,Nei,Nei,Høstferie
2016-10-12,Lenden skole og ressurssenter,Nei,Nei,Høstferie
2016-10-13,Lenden skole og ressurssenter,Nei,Nei,Høstferie
2016-10-14,Lenden skole og ressurssenter,Nei,Nei,Høstferie
2016-11-18,Lenden skole og ressurssenter,Nei,Nei,Planleggingsdag
2016-12-22,Lenden skole og ressurssenter,Nei,Nei,Juleferie
2016-12-23,Lenden skole og ressurssenter,Nei,Nei,Juleferie
2016-12-25,Lenden skole og ressurssenter,Nei,Nei,1. juledag
2016-12-26,Lenden skole og ressurssenter,Nei,Nei,2. juledag
2016-12-27,Lenden skole og ressurssenter,Nei,Nei,Juleferie
2016-12-28,Lenden skole og ressurssenter,Nei,Nei,Juleferie
2016-12-29,Lenden skole og ressurssenter,Nei,Nei,Juleferie
2016-12-30,Lenden skole og ressurssenter,Nei,Nei,Juleferie
2017-01-01,Lenden skole og ressurssenter,Nei,Nei,1. Nyttårsdag
2017-01-02,Lenden skole og ressurssenter,Nei,Nei,Planleggingsdag
2017-02-27,Lenden skole og ressurssenter,Nei,Nei,Vinterferie
2017-02-28,Lenden skole og ressurssenter,Nei,Nei,Vinterferie
2017-03-01,Lenden skole og ressurssenter,Nei,Nei,Vinterferie
2017-03-02,Lenden skole og ressurssenter,Nei,Nei,Vinterferie
2017-03-03,Lenden skole og ressurssenter,Nei,Nei,Vinterferie
2017-04-09,Lenden skole og ressurssenter,Nei,Nei,Palmesøndag
2017-04-10,Lenden skole og ressurssenter,Nei,Nei,Påskeferie
2017-04-11,Lenden skole og ressurssenter,Nei,Nei,Påskeferie
2017-04-12,Lenden skole og ressurssenter,Nei,Nei,Påskeferie
2017-04-13,Lenden skole og ressurssenter,Nei,Nei,Skjærtorsdag
2017-04-14,Lenden skole og ressurssenter,Nei,Nei,Langfredag
2017-04-16,Lenden skole og ressurssenter,Nei,Nei,1. påskedag
2017-04-17,Lenden skole og ressurssenter,Nei,Nei,2. påskedag
2017-05-01,Lenden skole og ressurssenter,Nei,Nei,Off. Høytidsdag
2017-05-17,Lenden skole og ressurssenter,Nei,Nei,Grunnlovsdag
2017-05-25,Lenden skole og ressurssenter,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Lenden skole og ressurssenter,Nei,Nei,Planleggingsdag
2017-06-04,Lenden skole og ressurssenter,Nei,Nei,1. pinsedag
2017-06-05,Lenden skole og ressurssenter,Nei,Nei,2. pinsedag
2017-06-22,Lenden skole og ressurssenter,Nei,Nei,Planleggingsdag
2016-08-15,Lunde skole,Nei,Nei,Planleggingsdag
2016-08-16,Lunde skole,Nei,Nei,Planleggingsdag
2016-08-17,Lunde skole,Nei,Nei,Planleggingsdag
2016-10-10,Lunde skole,Nei,Nei,Høstferie
2016-10-11,Lunde skole,Nei,Nei,Høstferie
2016-10-12,Lunde skole,Nei,Nei,Høstferie
2016-10-13,Lunde skole,Nei,Nei,Høstferie
2016-10-14,Lunde skole,Nei,Nei,Høstferie
2016-11-18,Lunde skole,Nei,Nei,Planleggingsdag
2016-12-22,Lunde skole,Nei,Nei,Juleferie
2016-12-23,Lunde skole,Nei,Nei,Juleferie
2016-12-25,Lunde skole,Nei,Nei,1. juledag
2016-12-26,Lunde skole,Nei,Nei,2. juledag
2016-12-27,Lunde skole,Nei,Nei,Juleferie
2016-12-28,Lunde skole,Nei,Nei,Juleferie
2016-12-29,Lunde skole,Nei,Nei,Juleferie
2016-12-30,Lunde skole,Nei,Nei,Juleferie
2017-01-01,Lunde skole,Nei,Nei,1. Nyttårsdag
2017-01-02,Lunde skole,Nei,Nei,Planleggingsdag
2017-02-27,Lunde skole,Nei,Nei,Vinterferie
2017-02-28,Lunde skole,Nei,Nei,Vinterferie
2017-03-01,Lunde skole,Nei,Nei,Vinterferie
2017-03-02,Lunde skole,Nei,Nei,Vinterferie
2017-03-03,Lunde skole,Nei,Nei,Vinterferie
2017-04-09,Lunde skole,Nei,Nei,Palmesøndag
2017-04-10,Lunde skole,Nei,Nei,Påskeferie
2017-04-11,Lunde skole,Nei,Nei,Påskeferie
2017-04-12,Lunde skole,Nei,Nei,Påskeferie
2017-04-13,Lunde skole,Nei,Nei,Skjærtorsdag
2017-04-14,Lunde skole,Nei,Nei,Langfredag
2017-04-16,Lunde skole,Nei,Nei,1. påskedag
2017-04-17,Lunde skole,Nei,Nei,2. påskedag
2017-05-01,Lunde skole,Nei,Nei,Off. Høytidsdag
2017-05-17,Lunde skole,Nei,Nei,Grunnlovsdag
2017-05-25,Lunde skole,Nei,Nei,Kristi Himmelfartsdag
2017-05-26,Lunde skole,Nei,Nei,Fridag
2017-06-04,Lunde skole,Nei,Nei,1. pinsedag
2017-06-05,Lunde skole,Nei,Nei,2. pinsedag
2016-08-15,Lundsvågen naturskole,Nei,Nei,Planleggingsdag
2016-08-16,Lundsvågen naturskole,Nei,Nei,Planleggingsdag
2016-08-17,Lundsvågen naturskole,Nei,Nei,Planleggingsdag
2016-10-10,Lundsvågen naturskole,Nei,Nei,Høstferie
2016-10-11,Lundsvågen naturskole,Nei,Nei,Høstferie
2016-10-12,Lundsvågen naturskole,Nei,Nei,Høstferie
2016-10-13,Lundsvågen naturskole,Nei,Nei,Høstferie
2016-10-14,Lundsvågen naturskole,Nei,Nei,Høstferie
2016-11-18,Lundsvågen naturskole,Nei,Nei,Planleggingsdag
2016-12-22,Lundsvågen naturskole,Nei,Nei,Juleferie
2016-12-23,Lundsvågen naturskole,Nei,Nei,Juleferie
2016-12-25,Lundsvågen naturskole,Nei,Nei,1. juledag
2016-12-26,Lundsvågen naturskole,Nei,Nei,2. juledag
2016-12-27,Lundsvågen naturskole,Nei,Nei,Juleferie
2016-12-28,Lundsvågen naturskole,Nei,Nei,Juleferie
2016-12-29,Lundsvågen naturskole,Nei,Nei,Juleferie
